date,event,split,bin_count,raw_mass,max_candle_age,mean_spread,mos_forecast,market,candidate,raw,uniform,gain
2026-01-03,KXHIGHMIA-26JAN03,test_a,6,1.045,60,0.031666666666666676,74.0,0.18032248956449412,0.19284706722465464,0.18352916666666666,0.13888888888888892,-0.012524577660160519
2026-01-04,KXHIGHMIA-26JAN04,test_a,6,0.88,300,0.04,80.0,0.04910253099173553,0.0552339669875968,0.056625,0.13888888888888892,-0.006131435995861266
2026-01-05,KXHIGHMIA-26JAN05,test_a,6,1.085,240,0.03833333333333334,82.0,0.08613476608125041,0.14142493397391342,0.0837625,0.13888888888888892,-0.055290167892663014
2026-01-06,KXHIGHMIA-26JAN06,test_a,6,1.105,180,0.041666666666666664,81.0,0.05934904417736464,0.06204436731255783,0.05470416666666666,0.13888888888888892,-0.0026953231351931894
2026-01-07,KXHIGHMIA-26JAN07,test_a,6,1.055,60,0.04500000000000001,81.0,0.09373853537282033,0.08001338319690036,0.0924625,0.13888888888888892,0.013725152175919964
2026-01-08,KXHIGHMIA-26JAN08,test_a,6,1.07,180,0.04000000000000001,82.0,0.186697528168399,0.11705831168575043,0.19251666666666664,0.13888888888888892,0.06963921648264856
2026-01-09,KXHIGHMIA-26JAN09,test_a,6,1.085,60,0.045000000000000005,81.0,0.08345898192783878,0.09925952623048102,0.08188749999999999,0.13888888888888892,-0.015800544302642244
2026-01-10,KXHIGHMIA-26JAN10,test_a,6,1.07,60,0.01,82.0,0.05787259440416922,0.08433078623581879,0.054824999999999985,0.13888888888888892,-0.026458191831649568
2026-01-11,KXHIGHMIA-26JAN11,test_a,6,1.095,60,0.02833333333333334,83.0,0.08341499690720937,0.07151454958364827,0.0809375,0.13888888888888892,0.011900447323561103
2026-01-12,KXHIGHMIA-26JAN12,test_a,6,1.1300000000000001,900,0.05999999999999999,77.0,0.08091210483723603,0.09725443512888576,0.07644999999999999,0.13888888888888892,-0.016342330291649734
2026-01-13,KXHIGHMIA-26JAN13,test_a,6,1.085,60,0.021666666666666664,78.0,0.21719863804002348,0.21964614551592973,0.2267208333333333,0.1388888888888889,-0.0024475074759062465
2026-01-14,KXHIGHMIA-26JAN14,test_a,6,1.055,60,0.025000000000000005,79.0,0.08458929493946676,0.0746202091940328,0.0824625,0.13888888888888892,0.009969085745433967
2026-01-15,KXHIGHMIA-26JAN15,test_a,6,0.935,60,0.048333333333333346,70.0,0.04546884383310934,0.021397825331086515,0.04987916666666667,0.1388888888888889,0.024071018502022826
2026-01-16,KXHIGHMIA-26JAN16,test_a,6,1.125,60,0.03166666666666667,67.0,0.11953251028806583,0.11835564171763002,0.12055416666666668,0.13888888888888892,0.0011768685704358073
2026-01-17,KXHIGHMIA-26JAN17,test_a,6,1.04,60,0.05000000000000001,77.0,0.14696591469428008,0.10056631258276981,0.14795833333333333,0.13888888888888892,0.04639960211151027
